"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"Adelie","Torgersen",35.1,19.4,193,4200,"male",2008
"Adelie","Dream",41.3,20.3,194,3550,"male",2008
"Adelie","Dream",36.3,19.5,190,3800,"male",2008
"Adelie","Dream",38.3,19.2,189,3950,"male",2008
"Adelie","Dream",41.1,18.1,205,4300,"male",2008
"Adelie","Dream",39.6,18.1,186,4450,"male",2008
"Adelie","Dream",40.8,18.9,208,4300,"male",2008
"Adelie","Dream",40.3,18.5,196,4350,"male",2008
"Adelie","Dream",43.2,18.5,192,4100,"male",2008
"Adelie","Biscoe",41,20,203,4725,"male",2009
"Adelie","Biscoe",37.8,20,190,4250,"male",2009
"Adelie","Biscoe",39.7,18.9,184,3550,"male",2009
"Adelie","Biscoe",38.2,20,190,3900,"male",2009
"Adelie","Biscoe",43.2,19,197,4775,"male",2009
"Adelie","Biscoe",45.6,20.3,191,4600,"male",2009
"Adelie","Biscoe",42.2,19.5,197,4275,"male",2009
"Adelie","Biscoe",42.7,18.3,196,4075,"male",2009
"Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"Adelie","Torgersen",41.4,18.5,202,3875,"male",2009
"Adelie","Torgersen",40.6,19,199,4000,"male",2009
"Adelie","Torgersen",41.5,18.3,195,4300,"male",2009
"Adelie","Torgersen",44.1,18,210,4000,"male",2009
"Adelie","Torgersen",43.1,19.2,197,3500,"male",2009
"Adelie","Dream",37.5,18.5,199,4475,"male",2009
"Adelie","Dream",41.1,17.5,190,3900,"male",2009
"Adelie","Dream",40.2,20.1,200,3975,"male",2009
"Adelie","Dream",39.7,17.9,193,4250,"male",2009
"Adelie","Dream",40.6,17.2,187,3475,"male",2009
"Adelie","Dream",40.7,17,190,3725,"male",2009
"Adelie","Dream",39,18.7,185,3650,"male",2009
"Adelie","Dream",39.2,18.6,190,4250,"male",2009
"Adelie","Dream",37.8,18.1,193,3750,"male",2009
"Adelie","Dream",41.5,18.5,201,4000,"male",2009
"Chinstrap","Dream",50,19.5,196,3900,"male",2007
"Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"Chinstrap","Dream",52,18.1,201,4050,"male",2007
"Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"Chinstrap","Dream",50.3,20,197,3300,"male",2007
"Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"Chinstrap","Dream",52,19,197,4150,"male",2007
"Chinstrap","Dream",49.5,19,200,3800,"male",2008
"Chinstrap","Dream",52.8,20,205,4550,"male",2008
"Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"Chinstrap","Dream",51,18.8,203,4100,"male",2008
"Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"Chinstrap","Dream",52,20.7,210,4800,"male",2008
"Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"Chinstrap","Dream",49,19.5,210,3950,"male",2008
"Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"Chinstrap","Dream",49,19.6,212,4300,"male",2009
"Chinstrap","Dream",51.5,18.7,187,3250,"male",2009
"Chinstrap","Dream",51.4,19,201,3950,"male",2009
"Chinstrap","Dream",50.7,19.7,203,4050,"male",2009
"Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"Chinstrap","Dream",50.8,19,210,4100,"male",2009
